Year,Week No,Date,Qty
2019/2020,31.0,04-08-2020,717
2019/2020,32.0,11-08-2020,708
2019/2020,33.0,18-08-2020,700
2019/2020,34.0,25-08-2020,687
2019/2020,35.0,01-09-2020,675
2019/2020,36.0,08-09-2020,663
2019/2020,37.0,15-09-2020,653
2019/2020,38.0,22-09-2020,651
2019/2020,39.0,29-09-2020,643
2018/2019,40.0,01-10-2018,732
2018/2019,41.0,08-10-2018,721
2018/2019,42.0,15-10-2018,716
2018/2019,43.0,22-10-2018,708
2018/2019,44.0,29-10-2018,701
2018/2019,45.0,05-11-2018,697
2018/2019,46.0,12-11-2018,698
2018/2019,47.0,19-11-2018,699
2018/2019,48.0,26-11-2018,713
2018/2019,49.0,03-12-2018,720
2018/2019,50.0,10-12-2018,721
2018/2019,51.0,17-12-2018,718
2018/2019,52.0,24-12-2018,715
2018/2019,53.0,31-12-2018,715
2018/2019,1.0,07-01-2019,714
2018/2019,2.0,14-01-2019,708
2018/2019,3.0,21-01-2019,703
2018/2019,4.0,28-01-2019,696
2018/2019,5.0,04-02-2019,697
2018/2019,6.0,11-02-2019,709
2018/2019,7.0,18-02-2019,717
2018/2019,8.0,25-02-2019,718
2018/2019,9.0,03-03-2019,720
2018/2019,10.0,10-03-2019,719
2018/2019,11.0,17-03-2019,721
2018/2019,12.0,24-03-2019,718
2018/2019,13.0,31-03-2019,716
2018/2019,14.0,07-04-2019,711
2018/2019,15.0,14-04-2019,707
2018/2019,16.0,21-04-2019,702
2018/2019,17.0,28-04-2019,708
2018/2019,18.0,05-05-2019,720
2018/2019,19.0,12-05-2019,724
2018/2019,20.0,19-05-2019,722
2018/2019,21.0,26-05-2019,716
2018/2019,22.0,02-06-2019,706
2018/2019,23.0,09-06-2019,695
2018/2019,24.0,16-06-2019,684
2018/2019,25.0,23-06-2019,672
2018/2019,26.0,30-06-2019,659
2018/2019,27.0,07-07-2019,645
2018/2019,28.0,14-07-2019,630
2018/2019,29.0,21-07-2019,619
2018/2019,30.0,28-07-2019,605
2018/2019,31.0,04-08-2019,593
2018/2019,32.0,11-08-2019,580
2018/2019,33.0,18-08-2019,568
2018/2019,34.0,25-08-2019,559
2018/2019,35.0,01-09-2019,546
2018/2019,36.0,08-09-2019,534
2018/2019,37.0,15-09-2019,525
2018/2019,38.0,22-09-2019,513
2018/2019,39.0,29-09-2019,508
